"","Library Number","Library Full Name","Survey Year From","A1.3","A1.4","A1.5","A1.9","A1.10","A1.11","A1.12","A1.13","A1.14","B1.1","B2.1.1","B2.1.2","B2.1.3","B2.1.4","B2.2","B2.3","B2.4.1.01","B2.4.1.02","B2.4.1.03","B2.4.1.04","B2.4.1.05","B2.4.1.06","B2.4.1.07","B2.4.1.99","B2.4.1a","B2.5","B2.6","B2.7","B2.8","B2.9","B3.1","B3.2","B3.3","B3.4","B3.5","B4.01","B4.01.1","B4.01.2","B4.02","B4.03","B4.04","B4.05.1","B4.05.2","B4.06","B4.07","B4.08","B4.09","B4.10","B5.0","B6.0","C1.1.E","C1.1.F","C1.1.O","C1.1.T","C1.2.E","C1.2.F","C1.2.O","C1.2.T","C1.3.1.E","C1.3.1.F","C1.3.1.O","C1.3.1.T","C1.3.2.E","C1.3.2.F","C1.3.2.O","C1.3.2.T","C1.3.3.E","C1.3.3.F","C1.3.3.O","C1.3.3.T","C1.4.E","C1.4.F","C1.4.O","C1.4.T","C1.5.E","C1.5.F","C1.5.O","C1.5.T","C2.1.E","C2.1.F","C2.1.O","C2.1.T","C2.2.E","C2.2.F","C2.2.O","C2.2.T","C2.3.1.E","C2.3.1.F","C2.3.1.O","C2.3.1.T","C2.3.2.E","C2.3.2.F","C2.3.2.O","C2.3.2.T","C2.3.3.E","C2.3.3.F","C2.3.3.O","C2.3.3.T","C2.3.4.E","C2.3.4.F","C2.3.4.O","C2.3.4.T","C2.4.E","C2.4.F","C2.4.O","C2.4.T","C2.5.E","C2.5.F","C2.5.O","C2.5.T","C3.1.E","C3.1.F","C3.1.O","C3.1.T","C3.2.1.E","C3.2.1.F","C3.2.1.O","C3.2.1.T","C3.2.2.E","C3.2.2.F","C3.2.2.O","C3.2.2.T","C3.2.3.E","C3.2.3.F","C3.2.3.O","C3.2.3.T","C3.2.4.E","C3.2.4.F","C3.2.4.O","C3.2.4.T","D1.0.H","D1.1.1.C","D1.1.2.C","D1.1.3.C","D1.1.4.C","D1.1.5.C","D1.2.1.C","D1.2.1.H","D1.2.2.C","D1.2.2.H","D1.2.3.C","D1.2.3.H","D1.2.4.C","D1.2.4.H","D1.2.5.C","D1.2.5.H","E1.1","E1.1.1","E1.1.2","E1.1.3","E1.1.4","E2.1","E2.3","E3.1.SPC","E3.1.SPH","E3.2.SPC","E3.2.SPH","E3.3.SPC","E3.3.SPH","E3.4.SPC","E3.4.SPH","E3.5.SPC","E3.5.SPH","E3.6.SPC","F1.0","F2.1.P","F2.2.A","F2.301.Attendance","F2.301.Programs","F2.302.Attendance","F2.302.Programs","F2.303.Attendance","F2.303.Programs","F2.304.Attendance","F2.304.Programs","F2.305.Attendance","F2.305.Programs","F2.306.Attendance","F2.306.Programs","F2.307.Attendance","F2.307.Programs","F2.308.Attendance","F2.308.Programs","F2.309.Attendance","F2.309.Programs","F2.310.Attendance","F2.310.Programs","F2.311.Attendance","F2.311.Programs","F2.312.Attendance","F2.312.Programs","F2.313.Attendance","F2.313.Programs","F2.314.Attendance","F2.314.Programs","F2.315.Attendance","F2.315.Programs","F2.316.Attendance","F2.316.Programs","F2.317.Attendance","F2.317.Programs","F2.318.Attendance","F2.318.Programs","F3.1.1","F3.1.2","F3.2.1","F3.2.2","G1.1.1.W","G1.1.2.W","G1.1.3.W","G1.2.1.W","G1.3.1.W","G1.3.2.W","G1.3.3.W","G1.4.1.W","G1.4.2.W","G1.4.3.W","G1.4.4.W","G1.4.5.W","G1.5.1.W","G1.5.2.W","H1.1.1.01","H1.1.1.02","H1.1.1.03","H1.1.1.04","H1.1.1.05","H1.1.1.06","H1.1.1.07","H1.1.1.08","H1.1.1.92","H1.2.1.F","H1.2.1.T","H1.2.2","H1.3.1.F","H1.3.1.T","H1.3.2.11","H1.3.2.12","H1.3.2.13","H1.3.2.14","H1.3.2.15","H1.3.2.16","H1.3.2.17","H1.3.2.90","H1.4.1.F","H1.4.1.T","H1.4.2","H1.4.3.21","H1.4.3.22","H1.4.3.23","H1.4.3.24","H1.4.3.25","H1.4.3.93","H1.5.1.F","H1.5.1.T","H1.5.2","H1.5.3.40","H1.5.3.41","H1.5.3.42","H1.5.3.43","H1.5.3.44","H1.5.3.94","H1.7.1.F","H1.7.1.T","H1.7.2.31","H1.7.2.32","H1.7.2.33","H1.7.2.34","H1.7.2.35","H1.7.2.91","H1.8.1.F","H1.8.1.T","H1.8.2.PC","P1.1","P1.2","P2.1","P2.2","B2.4.1.08","E1.2","F2.319.Attendance","F2.319.Programs","G1.4.6.W","H1.3.2.18","H1.9.1.F","H1.9.1.T","H1.9.2.51","H1.9.2.52","H1.9.2.95","D1.1.3.1.C","D1.2.3.1.C","D1.2.3.1.H","G1.5.3.W","H1.4.3.26","H1.7.2.36","B2.4.1.09","B2.4.1.10","F2.320.Attendance","F2.320.Programs","H1.5.4","H1.8.3.F","H1.8.3.T","H1.8.4.TN","C4.1.F","C4.1.T","C4.2","C4.3.01","C4.3.02","C4.3.03","C4.3.04","C4.3.05","C4.3.06","C4.3.07","C4.3.90","E2.1.F","E2.1.T","E2.3.F","E2.3.T","E2.4.F","E2.4.T","E2.5","E2.6.F","E2.6.T","E2.7","F2.311a.Attendance","F2.311a.Programs","G1.3.4.W","H1.3.2.10","H1.3.2.19","H1.3.2.20","C0.1.E","C0.1.F","C0.1.O","C0.1.T","C0.2.E","C0.2.F","C0.2.O","C0.2.T","C0.3.1.E","C0.3.1.F","C0.3.1.O","C0.3.1.T","C0.3.2.E","C0.3.2.F","C0.3.2.O","C0.3.2.T","C0.3.3.E","C0.3.3.F","C0.3.3.O","C0.3.3.T","C0.3.4.E","C0.3.4.F","C0.3.4.O","C0.3.4.T","C0.4.E","C0.4.F","C0.4.O","C0.4.T","C0.5.E","C0.5.F","C0.5.O","C0.5.T","C3.2.0.E","C3.2.0.F","C3.2.0.O","C3.2.0.T","F2.317a.Attendance","F2.317a.Programs","X287"
"1352","L0463","Marmora and Lake Twp",2014,"Southern Ontario Library Service","Public or Union Library","P.O. Box 340","37 Forsyth Street","Marmora","Ontario","K0K2M0","www.marmoralibrary.ca/",2928,0,10144,477,0,10621,79050,0,NA,1308,0,0,0,NA,0,1656,2964,640,2205,7500,0,102980,0,0,0,0,0,7163,5511,1652,50921,0,29050,649,1014,11062,0,0,0,1761,101620,0,207,2,0,209,226,2,0,228,10,4,2,16,0,0,0,0,0,0,0,0,5816,0,0,5816,0,0,0,0,23137,45,0,23182,23489,45,0,23534,1489,0,0,1489,1637,0,0,1637,56871,800,331,58002,73241,800,331,74372,0,0,0,0,96100,0,0,96100,12,0,0,12,9,5,4,18,0,0,0,0,0,0,0,0,51595,208,137,51940,35,0,0,0,0,0,0,0,0,0,1,25,0,0,5,10,6,6,6,NA,4,1,1,1,26,0,0,0,0,0,0,0,0,0,27918,89,528,0,0,10,5,96,32,240,40,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,203,198,0,0,527,31,558,37,145,255,175,31,12,15,27,25,244,150,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,4070,0,0,1690,0,3,120,10,1,0,0,0,0,0,0,0,1,12,10,0,0,0,0,0,0,0,0,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1353","L0428","Mattagami FN",2014,"Ontario Library Service - North","First Nations Library","P.O. Box 99",NA,"Gogama","Ontario","P0M1W0",NA,40,0,302,0,13000,13302,21271,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,34573,0,0,0,0,0,300,300,0,31291,0,0,300,0,0,0,0,0,0,31891,0,30,0,2,32,30,0,2,32,8,4,2,14,70,0,0,70,70,0,0,70,0,0,0,0,0,0,0,0,5289,0,0,5289,5292,0,0,5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,1,1,1,35,0,0,0,0,0,0,0,0,0,1200,7,97,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,24,0,24,15,1,0,35,12,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1354","L0134","Mattawa",2014,"Ontario Library Service - North","Public or Union Library","P.O. Box 920","370 pine St.","Mattawa","Ontario","P0H1V0","http://users.efni.com/~mplibrary/",1920,0,5153,181,0,5334,82383,3458,NA,4758,0,0,0,NA,9248,0,14006,4500,1000,0,0,110681,0,0,0,0,0,550,50,500,86000,500,15500,3100,1000,1500,0,0,0,0,108150,0,21,20,0,41,120,48,0,168,40,15,3,58,10,3,0,13,74,12,0,86,0,0,0,0,0,0,0,0,32500,7500,0,40000,32555,7515,0,40070,1500,100,0,1600,1500,100,0,1600,2956,190,103,3249,2956,190,103,3249,0,0,0,0,1,0,0,1,18,12,0,30,9,5,4,18,50,15,0,65,50,15,0,65,51595,208,137,51940,44,1,0,1,0,0,1,15,1,15,0,0,0,0,0,0,11,11,0,NA,0,1,1,1,44,0,0,0,0,0,0,0,0,0,36500,429,6906,140,10,1000,42,1000,42,1000,100,1000,50,520,40,10,3,300,10,26,20,300,10,150,45,200,10,200,12,300,12,100,2,10,1,0,0,500,10,700,300,10,100,720,10,730,1000,200,100,20,300,75,100,60,60,600,100,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,2114,1708,872,1052,0,1,150,10,150,0,0,1,0,1,0,0,0,0,100,0,1,0,0,0,0,0,0,1,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1355","L0461","Mattawan Twp",2014,"Ontario Library Service - North","Contracting Municipality","P.O. Box 610","947 Highway 533","Mattawa","Ontario","P0H1V0","n/a",0,0,403,0,0,403,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,162,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1356","L0020","Mattice-Val Cote Twp",2014,"Ontario Library Service - North","Public or Union Library","S.P. 129","500 Route 11","Mattice","Ontario","P0L1T0","www.olsn.ca/mattice-valcote/",425,1201,2316,79,0,2395,42329,0,NA,1540,13700,0,0,NA,5589,0,20829,263,2319,0,1336,69471,0,0,0,0,0,10229,9345,884,44167,559,2065,840,748,4434,0,0,0,4066,67108,0,15,52,0,67,68,153,0,221,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,7625,0,10540,2915,7625,0,10540,465,465,0,930,465,465,0,930,2956,190,103,3249,2956,190,103,3249,0,0,0,0,0,0,0,0,9,11,0,20,9,5,4,18,0,0,0,0,0,0,0,0,51595,208,137,51940,32.5,0,0,0,0,0,0,0,0,0,1,25,1,4,5,1,9,8,8,NA,4,1,1,1,25,0,0,0,0,0,0,2,1,0,5259,56,408,0,0,107,9,84,24,0,0,0,0,0,0,0,0,0,0,0,0,48,1,13,8,0,0,16,1,53,11,0,0,0,0,0,0,67,1,90,90,0,0,120,6,126,3,18,0,2,5,0,0,2,15,24,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,674,0,0,379,0,1,20,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1357","L1087","McDougall, Municipality of",2014,"Ontario Library Service - North","Contracting Municipality","5 Barager Blvd. RR #3","5 Barager Blvd. RR #3","Parry Sound","Ontario","P2A2W9","www.municipalityofmcdougall.com",0,0,7349,0,0,7349,32362,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,39711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39711,0,39711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2470,0,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1358","L0199","McGarry Twp",2014,"Ontario Library Service - North","Public or Union Library","70 Government Rd P.O. Box 250","70 Government Rd 250","Virginiatown","Ontario","P0K1X0","www.olsn.ca/mcgarry",666,1382,2611,88,0,2699,35000,0,NA,0,0,0,0,NA,0,2774,2774,0,867,0,0,41340,0,0,0,1211,1211,2044,1953,91,34856,162,3163,986,0,0,0,0,120,2432,43763,0,8,1,0,9,8,1,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8623,2498,0,11121,8623,2498,0,11121,2407,0,0,2407,2407,0,0,2407,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,1,21,1,6,0,0,6,5,5,NA,1,1,1,1,15,0,0,0,0,0,0,0,0,0,6935,1,15,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,138,0,0,54,110,164,0,67,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,586,0,0,342,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359","L0200","McKellar Twp",2014,"Ontario Library Service - North","Public or Union Library","P.O. Box 10","701 Highway 124","McKellar","Ontario","P0G1C0","www.mckellarpubliclibrary.on.ca",281,41089,5976,445,0,6421,30000,0,NA,0,0,0,0,NA,0,440,440,3200,6332,0,1520,47913,0,0,0,0,0,4563,3674,889,20874,0,7500,617,2053,4329,0,0,0,0,39936,1384,4,0,0,4,4,0,0,4,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8334,1,0,8335,8334,1,0,8335,714,0,0,714,714,0,0,714,2956,190,103,3249,2956,190,103,3249,0,0,0,0,0,0,0,0,27,0,0,27,9,5,4,18,0,0,0,0,0,0,0,0,51595,208,137,51940,32.5,0,1,0,1,0,0,0,1,10,0,0,1,10,0,0,5,5,5,NA,0,1,1,1,20,0,0,0,0,0,0,0,0,0,3188,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,85,233,103,53,4,57,4,6,1,15,5,1,2,3,5,25,6,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,1006,0,0,1549,0,2,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360","L0201","McMurrich-Monteith, the Corporation of the Township of",2014,"Ontario Library Service - North","Contracting Municipality","P.O. Box 70","31 William St","Sprucedale","Ontario","P0A1Y0","www.mcmurrichmonteith.com",0,0,2589,0,0,2589,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589,0,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,633,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361","L0203","Meaford",2014,"Southern Ontario Library Service","Public or Union Library","15 Trowbridge Street West",NA,"Meaford","Ontario","N4L1V4","www.meafordlibrary.on.ca",4022,0,23616,319,0,23935,526405,0,NA,0,0,963,0,NA,0,3800,4763,1667,23674,0,117738,698182,0,0,40000,0,40000,39589,37452,2137,388868,8750,19881,0,0,54377,45005,0,117535,24040,698045,32547,168,0,0,168,180,0,0,180,8,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34840,529,1,35370,36562,536,1,37099,2071,0,0,2071,2565,0,0,2565,64220,990,434,65644,76385,990,434,77809,0,0,0,0,0,0,0,0,54,1,0,55,9,5,4,18,0,0,0,0,0,0,0,0,51595,208,137,51940,35,0,3,1,0,0,0,0,0,0,0,0,1,20,4,8,11,11,1,NA,2,1,1,1,39,0,0,0,0,0,0,0,0,0,88134,629,8601,1156,59,1031,104,145,1,0,0,1187,61,107,21,0,0,12,3,165,7,1374,52,473,129,256,3,899,105,100,1,728,12,0,0,0,0,564,3,1386,1300,2832,1979,1672,174,1846,127,336,169,94,79,75,120,70,367,1730,287,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,11100,0,0,5630,0,4,404,68,26,0,0,1,1,1,0,1,2,45,49824,0,0,0,0,0,0,0,0,1,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362","L0331","Melancthon Twp",2014,"Southern Ontario Library Service","Contracting Municipality","157101 Highway 10","157101 Highway No 10","Melancthon","Ontario","L9V2E6","www.melancthontownship.ca",0,0,4452,0,0,4452,47527,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,51979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51979,0,51979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2292,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1363","L0204","Merrickville-Wolford",2014,"Southern Ontario Library Service","Public or Union Library","446 Main St. W P.O. Box 460","446 Main St. W P.O. Box 460","Merrickville","Ontario","K0G1N0","www.merrickvillelibrary.ca",1361,0,4865,231,0,5096,75500,6440,NA,0,0,0,0,NA,0,0,0,3955,2016,0,1031,94038,0,0,0,0,0,9321,7555,1766,61557,25,14862,1065,991,1840,0,0,0,3534,93195,0,398,1,0,399,547,15,0,562,11,5,2,18,0,0,0,0,0,0,0,0,40000,0,0,40000,28000,0,0,28000,21709,813,0,22522,21949,813,0,22762,2233,2,1,2236,2233,2,1,2236,67260,800,331,68391,67266,800,331,68397,0,0,0,0,0,0,0,0,35,0,0,35,9,5,4,18,0,0,0,0,0,0,0,0,51595,208,137,51940,35,1,0,0,0,0,0,0,0,0,1,10,0,0,10,20,9,8,8,NA,0,1,1,1,30.5,0,0,0,0,0,0,0,0,0,33023,260,2718,985,91,443,71,184,15,0,0,690,38,0,0,0,0,0,0,0,0,0,0,79,8,2,1,48,14,7,1,141,9,0,0,0,0,0,0,1066,1026,1220,963,671,53,724,150,86,40,10,11,0,3,2,5,346,159,0,1,2,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,4,1,0,0,0,1,2,0,1,3,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2812,1079,461,1118,0,0,139,12,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
