"","LibID","Library","Year","Upper Tier Code","Legal Name","New Legal Name","Mailing Address","Postal Code","City","Street Address","Library Web Site Address","Library Service Type","Population (Resident)","Households (Resident)","Population (Contracting)","Households (Contracting)","Date year starts","Date year ends","Ontario Library Service (OLS) Region","# of Active Library Cardholders","Net Balance brought forward amount","Net Balance brought forward type","Provincial Operating Funding","Local Operating Grant","Contract Revenue","Project Grants","Donations","Self-generated Revenue","Debt Services and Reserve Fund Revenues","Other operating revenue","Total Operating Revenues","Provincial capital revenues","Federal capital revenues","Local capital revenues","Other capital revenues","Total Capital Revenues","General materials expenditure","Electronic materials expenditure","Staffing expenditure","Staff Training expenditure","Facilities/Utilities","Telephone and Fax","Dedicated Internet Connectivity Costs","Computer Services","Debt Charges and Transfers to Reserve Funds","Funds returned to government sources","Contract payment made to library boards for library services","Other expenditures","Total Operating Expenditures","Total Capital Expenditures","Titles Held (Reference - English Language)","Titles Held (Reference - French Language)","Titles Held (Reference - Other Language)","Volumes Held (Reference - English Language)","Volumes Held (Reference - French Language)","Volumes Held (Reference - Other Language)","# of Databases (Reference - English Language)","# of Databases (Reference - French Language)","# of Databases (Reference - Other Language)","# of CD ROM Titles (Reference - English Language)","# of CD ROM Titles (Reference - French Language)","# of CD ROM Titles (Reference - Other Language)","# of copies of CD ROM (Reference - English Language)","# of copies of CD ROM (Reference - French Language)","# of copies of CD ROM (Reference - Other Language)","Titles Held (Circulating - English Language)","Titles Held (Circulating - French Language)","Titles Held (Circulating - Other Language)","Volumes Held (Circulating - English Language)","Volumes Held (Circulating - French Language)","Volumes Held (Circulating - Other Language)","# of CD ROM Titles (Circulating - English Language)","# of CD ROM Titles (Circulating - French Language)","# of CD ROM Titles (Circulating - Other Language)","# of copies of CD ROMs (Circulating - English Language)","# of copies of CD ROMs (Circulating - French Language)","# of copies of CD ROMs (Circulating - Other Language)","Titles Held (Periodicals - English Language)","Titles Held (Periodicals - French Language)","Titles Held (Periodicals - Other Language)","# of Database Subscriptions (Periodicals - English Language)","# of Database Subscriptions (Periodicals - French Language)","# of Database Subscriptions (Periodicals - Other Language)","# of CD ROM Titles (Periodicals - English Language)","# of CD ROMs Titles (Periodicals - French Language)","# of CD ROM Titles (Periodicals - Other Language)","# of copies of CD ROMs (Periodicals - English Language)","# of copies of CD ROMs (Periodicals - French Language)","# of copies of CD ROMs (Periodicals - Other Language)","# of individual electronic periodical titles (English Language)","# of individual electronic periodical titles (French Language)","# of individual electronic periodical titles (Other Language)","# of hours per week in an FTE","Librarians (Full Time - # of people)","Library Technicians (Full Time - # of people)","EXCEL Graduates  (Full Time - # of people)","Other staff (Full Time - # of people)","Volunteers (Full Time - # of people)","Librarians (Part Time - # of people)","Librarians (Part Time - Hours worked)","Library Technicians (Part Time - # of people)","Library Technicians (Part Time - Hours worked)","EXCEL Graduates (Part Time - # of people)","EXCEL Graduates (Part Time - Hours worked)","Other staff (Part Time - # of people)","Other staff (Part Time - Hours worked)","Volunteers (Part Time - # of people)","Volunteers (Part Time - Hours worked)","# of Public access workstations","Workstations with internet access","Workstations with OPAC access","Workstations with CD ROM access","Automated catalogue available","Name of Automated Catalogue System","Does your library provide wireless Internet connection","# of Main Libraries","Main Library - total hours open per week","# of Branches open >= 12 hours per week","Branches open >= 12 hours per week - total hours open per week","# of Branches open < 12 hours per week","Branches open < 12 hours per week - total hours open per week","# of Bookmobile stops","Bookmobile hours per week","# of Deposit Stations","Deposit Station hours per week","# of Bookmobiles","Total Annual Direct Circulation","# of programs held annually","Annual program attendance","# of items borrowed","# of items lent","# of requests made to other libraries","# of requests received from other libraries","Typical Week - Direct circulation","Typical Week - Materials use in library","Typical Week -  # of people using library workstations","Typical Week -  # of times electronic databases accessed","No of people using public library wireless connection","Typical Week -  # of standard reference transactions","Typical Week -  # of electronic reference transactions","Typical Week -  # of library visits made in person","Typical Week -  # of electronic library visits"
"781",364,"Wasaga Beach",2001,70,"Wasaga Beach",NA,"P.O. Box 530","L9Z1A5","Wasaga Beach","120 Glenwood Drive","www.wasagabeach.library.on.com","Public or Union Library",11308,8068,0,0,"01/01/2001","12/31/2001","SOLS",4778,0,"Nil",30181,102939,0,2335,2774,9317,0,0,147546,0,0,0,0,0,17519,0,96402,1327,19764,1552,0,2838,2572,5388,0,184,147546,0,472,0,0,480,0,0,0,0,0,3,0,0,3,0,0,17837,38,81,18483,38,81,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,1,0,0,0,1,23,0,0,1,10,1,5,6,2,2,2,"Yes","Athena",0,1,42,0,0,0,0,0,0,0,0,0,84042,75,885,495,0,570,495,2086,218,37,0,0,107,0,720,0
"782",423,"Wasauksing FN",2001,86,"Wasauksing FN",NA,"P.O. Box 250","P2A2X4","Parry Sound","1508 Lane G Geewadin Rd","librarian@wasauksing.ca","First Nations Library",381,0,0,0,"01/01/2001","12/31/2001","OLS-N",1010,-2407,"Deficit",1398,5200,0,21601,0,0,0,0,28199,0,0,0,0,0,536,0,22901,0,5200,0,0,265,0,0,0,100,29002,0,5,0,0,97,0,0,0,0,0,3,0,0,3,0,0,2686,0,4,2769,0,4,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,2,20,0,0,4,2,0,0,"Yes","Winnebago",0,1,20,0,0,0,0,0,0,0,0,0,8248,0,0,11,0,11,0,105,3,44,0,0,22,0,137,0
"783",365,"Waterloo City",2001,25,"Waterloo City",NA,"35 Albert Street","N2L5E2","Waterloo",NA,"www.wpl.ca","Public or Union Library",87874,33446,0,0,"01/01/2001","12/31/2001","SOLS",50017,90005,"Surplus",127888,2135004,0,0,23751,115135,64300,26995,2493073,0,0,184542,0,184542,402016,18657,1617244,13161,214140,12816,0,108383,22000,0,0,77901,2486318,184542,11257,40,0,16081,74,0,48,0,0,4,0,0,4,0,0,155146,1733,849,198181,2177,1017,192,0,0,197,0,0,275,4,0,2,0,0,0,0,0,0,0,0,1552,0,0,35,7,0,0,15,0,1,28,0,0,0,0,47,665.5,158,48,45,28,43,12,"Yes","Innovative Interfaces Inc. - WebPac",0,1,62,1,48,0,0,0,0,0,0,0,815197,195,4661,1323,1475,1571,2675,16474,3686,1212,0,0,1360,0,7941,1163
"784",270,"Waterloo Region",2001,25,"Waterloo Region",NA,"150 Frederick Street, 2nd Floor","N2G4J3","Kitchener","2017 Nafziger Road, Philipsburg N0B 1G0","www.rwl.library.on.ca","County, County co-operative or Regional Municipality Library",48987,16670,0,0,"01/01/2001","12/31/2001","SOLS",14787,251168,"Surplus",99729,1120517,5000,80577,500,41649,7500,0,1355472,0,0,38693,0,38693,131586,344,930712,42870,151914,21526,0,39534,111696,0,0,100720,1530902,38693,759,0,0,2307,0,0,0,0,0,54,0,0,159,0,0,109126,150,328,168316,195,328,32,0,0,39,0,0,258,0,0,1,0,0,0,0,0,0,0,0,800,0,0,35,2,0,0,5,0,0,0,1,29,5,111.75,25,358.25,101,51,37,35,35,5,"Yes","Multilis",0,0,0,10,243.5,0,0,0,0,0,0,0,347208,845,11468,2070,2090,3499,3041,6865,13446,268,28,0,670,19,3820,348
"785",178,"Wawa",2001,80,"Wawa","Wawa","P.O. Box 1730","P0S1K0","Wawa","40 Broadway Ave","www.mtpl.on.ca","Public or Union Library",3241,1739,350,0,"01/01/2001","12/31/2001","OLS-N",1013,3849,"Surplus",9645,75000,547,4011,2483,2215,0,0,93901,0,0,0,0,0,10522,0,69739,7,0,2322,0,1052,0,0,0,6672,90314,0,9,3,0,304,74,0,0,0,0,6,0,0,7,0,0,10,2,0,11379,205,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,1,7,2,1,2,2,"Yes","Athena",0,1,30,0,0,0,0,0,0,0,0,0,29488,106,1104,41,0,78,41,621,210,68,0,0,50,70,450,0
"786",366,"Welland",2001,18,"Welland",NA,"50 The Boardwalk","L3B6J1","Welland",NA,"http://www.welland.library.on.ca","Public or Union Library",46965,20577,0,0,"01/01/2001","12/31/2001","SOLS",14861,13346,"Surplus",145878,1138588,0,15960,0,56497,17588,4078,1378589,0,0,1471,12000,13471,135389,9840,963490,4061,58680,14138,0,54016,70593,0,0,48195,1358402,12784,5042,56,0,8225,128,0,6,0,0,3,1,0,4,4,0,82918,8189,2538,94508,8618,2837,144,12,0,152,12,0,170,13,0,2,0,0,1,0,0,4,0,0,2824,118,0,35,4,3,0,11,0,23,36,0,0,0,0,6,86,27,12,21,13,4,4,"Yes","DRA MultiLIS",0,1,64,1,24,0,0,0,0,0,0,0,267837,376,8591,1106,887,1358,1745,5816,1248,595,90,0,1121,6,3598,313
"787",367,"Wellington County",2001,75,"Wellington County",NA,"552 Wellington Rd18, RR1","N1M2W3","Fergus",NA,"www.wclib.ca","County, County co-operative or Regional Municipality Library",73195,28687,0,0,"01/01/2001","12/31/2001","SOLS",19200,0,"Nil",152454,1752618,5880,173118,0,55650,0,0,2139720,0,0,311542,0,311542,356890,0,1236142,15340,217264,34000,0,39000,168000,0,5000,68084,2139720,311542,1585,0,0,3061,0,0,0,0,0,24,0,0,24,0,0,138725,0,0,228301,0,0,174,0,0,211,0,0,1279,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,1,1,0,4,0,0,0,1,25,8,23,53,25,0,0,20,20,20,10,"Yes","Multilis",0,1,52,12,349.5,0,0,0,0,0,0,0,587880,0,8100,1188,1947,2072,2845,11305,3107,430,400,0,1009,0,9844,0
"788",336,"West Grey",2001,47,"West Grey","Township of West Grey","240 Garafraxa St. N.","N0G1R0","Durham",NA,"www.westgreylibrary.com","Public or Union Library",11074,5096,0,0,"01/01/2001","12/31/2001","SOLS",2130,1562,"Surplus",24190,103268,3500,0,273,3439,16750,0,151420,0,0,0,0,0,31802,10841,73852,434,8980,4387,0,80,0,0,10938,4000,145314,21855,914,0,0,1620,0,0,0,0,0,50,0,0,50,0,0,38981,0,0,40328,0,0,0,0,0,0,0,0,64,0,0,2,0,0,15,0,0,15,0,0,1078,0,0,0,0,0,0,0,0,0,0,0,0,2,54,3,32,4,5,16,15,5,12,"Yes","Winnebago-Spectrum 5-Suite",0,1,40,1,12,2,19,0,0,0,0,0,40230,10,276,657,430,757,530,738,516,73,7,0,92,13,364,5
"789",370,"West Lincoln Twp",2001,18,"West Lincoln Twp",NA,"P.O. Box 28","L0R2A0","Smithville","318 Canborough Street","http://westlincolnlibrary@yahoo.ca","Public or Union Library",11415,3940,0,0,"01/01/2001","12/31/2001","SOLS",6785,0,"Nil",22920,127410,0,5260,0,0,2594,0,158184,0,0,0,0,0,26981,650,90572,691,6468,1378,1200,1412,0,0,0,0,129352,1282,63,4,2,1122,4,2,4,0,0,101,0,0,303,0,0,48747,42,356,50044,42,356,30,0,0,90,0,0,88,0,0,3,0,0,3,0,0,30,0,0,790,0,0,35,1,0,0,0,0,2,18,2,15,2,15,2,15,12,3,5,4,0,4,"No",NA,0,1,32,2,27,0,0,0,0,0,0,0,96173,6,3470,323,0,340,0,2155,343,120,0,0,207,1,831,0
"790",371,"West Nipissing",2001,85,"West Nipissing","Municipality of West Nipissing","225 Holditch St, Suite 107","P2B1T1","Sturgeon Falls",NA,"www.wnpl.ca","Public or Union Library",13452,6943,0,0,"01/01/2001","12/31/2001","OLS-N",5037,30744,"Surplus",52998,247402,0,5460,0,5699,19953,3803,335315,0,0,0,20005,20005,32966,0,222263,877,52243,3443,0,0,47520,0,0,3202,362514,390,472,475,0,1007,1028,0,0,0,0,29,11,0,29,11,0,18584,28188,0,24461,28665,0,3,0,0,3,0,0,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,1,30,3,58,4,62,0,0,21,19,1,15,"No",NA,0,1,40,2,25,1,10,0,0,0,0,0,49597,0,0,471,80,623,120,917,231,96,0,0,36,0,575,0
"791",372,"West Perth Twp",2001,65,"West Perth Twp","Township of West Perth","P.O. Box 100","N0K1N0","Mitchell","105 St. Andrew St.","http://www.westperth.library.on.ca","Public or Union Library",8876,3285,0,0,"01/01/2001","12/31/2001","SOLS",1552,0,"Nil",20327,82700,0,2912,1251,5068,1175,0,113433,0,0,0,0,0,16567,0,55131,770,9753,3416,2902,22267,0,0,0,2627,113433,0,194,0,0,310,0,0,0,0,0,0,0,0,0,0,0,10706,0,0,12311,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,30,3,34,1,3,5,2,2,3,"Yes","Dynix",0,1,34,0,0,0,0,0,0,0,0,0,30901,8,650,2632,1798,585,77,661,234,41,0,0,78,0,359,0
"792",374,"Westport",2001,56,"Westport",NA,"P.O. Box 28","K0G1X0","Westport","#3 Spring St","http://village.westport.on.ca/about-westport/westport-public-library","Public or Union Library",610,357,0,0,"01/01/2001","12/31/2001","SOLS",750,11941,"Surplus",1714,7900,0,0,8705,4959,0,0,23278,0,0,0,0,0,2555,0,11860,0,5005,604,902,0,0,0,0,0,20926,0,59,3,0,237,3,0,0,0,0,2,0,0,2,0,0,10697,0,0,10798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,21,0,0,2,5,1,1,0,1,"No",NA,0,1,21,0,0,0,0,0,0,0,0,0,9203,0,0,287,6,336,6,174,6,5,0,0,2,0,116,0
"793",27,"Whitby",2001,10,"Whitby",NA,"405 Dundas Street West","L1N6A1","Whitby",NA,"www.whitbylibrary.on.ca","Public or Union Library",81172,28317,0,0,"01/01/2001","12/31/2001","SOLS",50027,56424,"Surplus",99982,1934805,0,2492,1979,89758,0,0,2129016,0,0,57672,0,57672,226159,13837,1522595,8994,209363,7651,16482,74631,1979,0,0,93270,2174961,59380,3040,9,0,6953,38,0,3,0,0,11,0,0,11,0,0,90371,1672,1308,123589,1798,1345,278,0,0,309,0,0,188,6,7,3,0,0,10,0,0,10,0,0,3500,0,0,35,4,2,0,7,0,0,0,3,84,2,46,36,688,0,0,44,20,19,3,"Yes","Epixtech -Dynix system",0,1,65.5,2,89,0,0,0,0,0,0,0,646930,649,12643,876,745,1055,1328,13221,5717,1496,380,0,2620,0,7719,2484
"794",148,"Whitchurch-Stouffville",2001,27,"Whitchurch-Stouffville",NA,"30 Burkholder Street","L4A4K1","Stouffville",NA,"www.whitchurch-library.on.ca","Public or Union Library",20112,7409,0,0,"01/01/2001","12/31/2001","SOLS",10055,27563,"Surplus",51588,422800,0,0,1087,336463,52075,4206,868219,0,0,0,0,0,48149,3216,344409,3148,45693,6957,0,51131,238695,0,0,111696,853094,0,1447,3,0,2209,27,0,0,0,0,9,0,0,9,0,0,59805,296,115,62405,316,115,64,0,0,64,0,0,84,0,0,1,0,0,0,0,0,0,0,0,140,0,0,35,2,0,0,2,0,0,0,0,0,0,0,11,198,125,34,12,6,5,11,"Yes","Sirs Mandarin",0,1,69,0,0,0,0,0,0,0,0,0,116166,306,4802,381,847,497,1800,2760,666,99,297,0,95,31,2003,416
"795",375,"White River Twp",2001,80,"White River Twp",NA,"P.O. Box 458","P0M3G0","White River","123 Superior Street","www.whiteriverlibrary.com","Public or Union Library",835,464,0,0,"01/01/2001","12/31/2001","OLS-N",145,514,"Surplus",3102,30500,0,4883,0,723,0,0,39208,0,0,0,0,0,6225,0,11117,25,12854,700,0,39,4883,0,0,1667,37510,0,31,0,0,146,0,0,0,0,0,7,0,0,7,0,0,7420,267,0,7420,267,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,2.5,0,0,4,3,0,4,"No",NA,0,1,9.5,0,0,0,1,0,0,0,0,0,3054,27,122,8,0,9,0,62,6,9,0,0,2,0,40,2
"796",424,"Whitefish Lake FN",2001,88,"Whitefish Lake FN",NA,"25 reserve road","P0M2M0","Whitefish First Nation","212 Maaini Street","http://www.wlfn.com","First Nations Library",318,0,0,0,"04/01/2001","03/31/2002","OLS-N",362,-498,"Deficit",1002,0,0,13000,0,0,0,0,14002,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,13000,0,13,0,0,246,0,0,0,0,0,0,0,0,0,0,0,815,0,0,815,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,7,7,7,7,"No",NA,0,1,20,0,0,0,0,0,0,0,0,0,3500,20,200,0,0,0,0,70,70,60,60,0,0,0,4,4
"797",425,"Whitefish River FN",2001,83,"Whitefish River FN",NA,"P.O. Box 188","P0P1A0","Birch Island","212 Rainbow Ridge Road","www.whitefishriver.ca","First Nations Library",328,0,0,0,"04/01/2001","03/31/2002","OLS-N",150,1602,"Surplus",1362,1300,0,13000,2236,1540,0,0,19438,0,0,0,0,0,2275,100,13687,1897,3420,1120,0,409,0,0,0,0,22908,0,31,0,0,368,0,0,0,0,0,35,0,0,35,0,0,4800,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,5,5,0,5,"Yes","Winnebago Spectrum CIRC",0,1,20,0,0,0,0,0,0,0,0,0,3750,12,96,10,8,10,0,56,32,24,0,0,18,0,24,0
"798",377,"Whitestone-Hagerman Memorial",2001,86,"Whitestone-Hagerman Memorial","Municipality of Whitestone","General Delivery","P0A1G0","Dunchurch","2206 Highway 124, Dunchurch ON","www.olsn.ca/whitestonelibrary","Public or Union Library",713,1595,0,0,"01/01/2001","12/31/2001","OLS-N",320,4540,"Surplus",5675,24555,0,0,555,1238,249,1473,33745,0,0,0,0,0,3566,0,18956,223,3884,976,52,1591,0,564,0,4507,34319,0,90,0,0,148,0,0,0,0,0,3,0,0,3,0,0,8098,0,0,8190,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,32,2,6,7,6,2,6,"Yes","Athena",0,1,20,0,0,0,0,0,0,0,0,0,7166,2,45,91,0,102,0,103,665,51,0,0,24,2,143,0
"799",482,"Whitewater Region",2001,69,"Whitewater Region",NA,"P.O. Box 159","K0J1C0","Beachburg","20 Cameron Street","mlabow@nrtco.net","Public or Union Library",6187,3119,0,0,"01/01/2001","12/31/2001","SOLS",1563,8264,"Surplus",15795,33000,0,8581,6963,2057,10534,148,77078,0,0,0,0,0,10354,0,40940,538,7188,1300,0,4725,0,0,0,1765,66810,0,564,0,0,858,0,0,0,0,0,5,0,0,8,0,0,17007,123,0,23385,173,0,10,0,0,10,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,3,48,1,7.5,3,3,7,5,0,6,"No",NA,0,0,0,3,48,0,0,0,0,0,0,0,18200,22,57,54,0,67,0,521,347,58,16,0,71,18,189,15
"800",426,"Wikwemikong FN",2001,83,"Wikwemikong FN",NA,"34-A Henry Street","P0P2J0","Wikwemikong","34 Henry Street","www.olsn.ca/wpl","First Nations Library",2858,0,0,0,"04/01/2001","03/31/2002","OLS-N",868,-3284,"Deficit",9265,0,0,18000,0,0,0,29945,57210,0,0,0,0,0,4323,0,46340,782,0,958,0,6143,0,0,0,4691,63237,0,52,0,0,588,0,0,0,0,0,5,0,0,10,0,0,5100,0,5,5130,0,5,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,"Yes","Winnebago CIRC/CAT",0,1,37.5,0,0,0,0,0,0,0,0,0,2006,47,255,1,0,0,0,53,65,118,0,0,4,4,290,118
"801",378,"Windsor",2001,45,"Windsor",NA,"850 Ouellette Avenue","N9A4M9","Windsor",NA,"www.windsorpubliclibrary.com","Public or Union Library",202431,87908,0,0,"01/01/2001","12/31/2001","SOLS",106031,0,"Nil",360681,7126664,0,295475,47570,432866,158400,0,8421656,0,0,0,0,0,788358,24426,5052877,74679,917429,70557,0,647288,321500,0,0,0,7897114,238347,35,379,280,36012,390,288,10,0,0,148,0,0,221,0,0,290081,13471,25655,544467,17349,33931,388,0,0,620,0,0,1447,28,34,8,0,0,0,0,0,0,0,0,3785,0,0,35,23,0,0,55,1,0,0,0,0,0,0,15,291.5,76,220,126,126,126,24,"Yes","SIRSI -iBistro",0,1,68,8,426,0,0,0,0,0,0,0,1308425,945,22275,1223,116,1128,5553,25910,14514,4419,219,0,4492,66,19333,3717
"802",380,"Wollaston and Limerick Union",2001,51,"Wollaston and Limerick Union",NA,"P.O. Box 280","K0L1P0","Coe Hill","2149 Hwy 620","www.wollaston-limericklibrary.ca","Public or Union Library",1016,1309,0,0,"01/01/2001","12/31/2001","SOLS",130,0,"Nil",5604,4600,0,0,1709,0,0,0,11913,0,0,0,0,0,1257,1760,5710,0,0,1278,0,0,0,6686,0,98,16789,0,20,0,0,50,0,0,0,0,0,60,0,0,80,0,0,4000,37,0,4050,43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,24,1,1,5,5,5,5,"Yes","Winnebago",0,1,24,0,0,0,0,0,0,0,0,0,6000,5,300,200,0,200,198,130,25,60,0,0,45,25,145,0
"803",379,"Woodstock",2001,37,"Woodstock",NA,"445 Hunter Street","N4S4G7","Woodstock",NA,"www.woodstock.library.on.ca","Public or Union Library",32474,13733,0,0,"01/01/2001","12/31/2001","SOLS",18685,8155,"Surplus",59960,991446,0,54266,11716,54965,0,0,1172353,0,0,0,0,0,101068,15088,833948,2548,56443,4012,0,36084,53467,0,0,77850,1180508,0,4741,1,0,6255,1,0,6,0,0,18,0,0,39,0,0,104781,157,1270,120439,157,1270,34,0,0,40,0,0,154,0,0,3,0,0,0,0,0,0,0,0,2390,1,0,35,4,1,0,5,0,1,19,1,15,0,0,13,199,2,6,17,10,17,10,"Yes","SIRSI web 2",0,1,62.5,0,0,0,0,0,0,0,0,0,277041,360,5299,1012,1699,1750,2832,4828,1620,592,0,0,500,10,5160,435
"804",5,"Addington Highlands Twp",2002,57,"Addington Highlands Twp","Township of Addington Highlands","Box 72","K0H1P0","Flinton","3641 Flinton Rd. Flinton, Ontario","www.addingtonhighlandspubliclibrary.ca","Public or Union Library",2112,2457,0,0,"01/01/2002","12/31/2002","SOLS",499,-1380,"Deficit",11434,6016,0,0,0,2140,0,0,19590,0,0,0,0,0,4804,0,5641,0,3612,1543,0,0,0,0,0,3133,18733,1592,144,0,0,752,0,0,0,0,0,0,0,0,0,0,0,13796,13,0,13796,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,2,10,3,8,3,3,0,2,"No",NA,0,1,4,0,0,1,6,0,0,0,0,0,5784,2,62,17,0,17,0,116,3,4,0,0,1,0,45,0
"805",3,"Adjala-TosorontioTwp",2002,70,"Adjala-TosorontioTwp",NA,"7855 Sideroad 30, RR # 1","L9R1V1","Alliston",NA,"www.townshipadjtos.on.ca","Contracting Municipality",9750,3340,0,0,"01/01/2002","12/31/2002",NA,0,0,"Nil",13821,21522,0,0,0,0,0,0,35343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35322,21,35343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806",2,"Admaston - Bromley Public Library",2002,69,"Admaston - Bromley Public Library","Township of Admaston/Bromley","P O Box 130","K0J1S0","Douglas","5346 Highway 60","http://www.admastonbromleylibrary.com","Public or Union Library",2793,1260,0,0,"01/01/2002","12/31/2002","SOLS",400,9853,"Surplus",5518,3500,652,3595,640,0,0,185,14090,0,0,0,0,0,2520,0,7184,80,1143,796,1117,1466,0,0,0,1468,15774,0,50,0,0,150,0,0,0,0,0,5,0,0,5,0,0,5693,30,0,5773,30,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,2,8,1,2,3,3,0,2,"No",NA,0,1,10,0,0,0,0,0,0,0,0,0,14560,27,810,2,0,2,0,458,65,79,385,0,14,138,174,0
"807",32,"Ajax",2002,10,"Ajax",NA,"55 Harwood Ave. South","L1S2H8","Ajax",NA,"www.townofajax.com/library/index.html","Public or Union Library",66958,24022,0,0,"01/01/2002","12/31/2002","SOLS",44157,60060,"Surplus",154654,2022100,0,12442,632,69414,0,4791,2264033,4140,0,181545,0,185685,228718,5182,1548418,16073,272646,19440,0,0,0,0,0,161570,2252047,185685,2632,0,0,5870,0,0,3,0,0,126,0,0,146,0,0,129213,2937,2856,156048,3348,2999,209,0,0,247,0,0,201,2,4,3,0,0,0,0,0,0,0,0,0,0,0,35,3,2,0,9,0,0,0,0,0,0,0,49,721,0,0,53,33,17,4,"Yes","Dynix",0,1,62,2,69,0,0,0,0,0,0,0,453137,777,12661,502,37,627,47,11987,1949,941,0,0,987,0,4134,0
"808",390,"Alderville FN",2002,61,"Alderville FN",NA,"P.O. Box 46","K0K2X0","Roseneath","11696 Second Line Road, Alderville, Ontario","http://aldervillelearningcentre.com/index.php/library.html","First Nations Library",284,0,0,0,"01/01/2002","12/31/2002","SOLS",146,0,"Nil",1329,6660,0,14880,8101,1000,0,0,31970,0,0,0,0,0,6230,0,16287,1091,2500,960,260,654,0,238,0,3750,31970,0,320,0,6,361,0,6,0,0,0,28,0,0,46,0,0,2534,0,411,2678,0,451,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,3,6,3,3,0,3,"Yes","LEXIFILE",0,1,20,0,0,0,0,0,0,0,0,0,4420,60,726,42,0,46,0,85,20,14,0,0,4,2,52,0
"809",4,"Alfred & Plantagenet Twp",2002,67,"Alfred & Plantagenet Twp","Township of Alfred & Plantagenet","C.P. 10","K0B1J0","Lefaivre","1963, rue de l'H<f4>tel de Ville, C.P. 10, Lefaivre ON","www.alfred-plantagenet.ca","Public or Union Library",8290,3491,0,0,"01/01/2002","12/31/2002","SOLS",2727,1979,"Surplus",15665,106524,0,0,1000,3921,500,0,127610,0,0,0,0,0,19622,0,55548,2647,17220,3193,0,0,0,0,19630,5692,123552,2412,55,216,1,236,479,1,0,0,0,1,1,0,1,1,0,4145,23754,3,5423,26752,3,0,0,0,0,0,0,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,16,6,59,12,24,24,24,19,24,"Yes","Mandarin",0,0,0,3,43,2,20,0,0,0,0,0,37926,9,526,239,65,216,44,781,158,93,23,0,37,13,278,101
